sym,price_est_vs_actual,price,est_price_unsplit,MCAP,SharesOutstanding
LOGI,1.00,39.44,39.60,6591.9744,166.465
UCFC,1.00,9.86,9.90,475.8831,48.069
MAGS,1.00,4.64,4.66,107.87233,23.154
ABG,1.00,92.56,92.94,1798.1955,19.348
BNS,1.00,52.32,52.53,64114.2506,1220.415
FLY,1.00,17,17.07,553.95564,32.452
GTS,1.00,25.66,25.77,627.111,24.339
KREF,1.00,19.39,19.47,1117.83111,57.413
ONB,1.00,16.91,16.98,2924.48238,172.231
FBC,1.00,33.77,33.91,1915.37244,56.484
SGSVF,1.00,1.26,1.27,369.64864,292.16
MITT,1.00,16.06,16.13,527.92326,32.736
CMD,1.00,90.87,91.25,3811.1475,41.767
DENN,1.00,22.63,22.72,1350.44206,59.427
BXMT,1.00,35.48,35.63,4784.68144,134.289
TPVG,1.00,15.48,15.55,386.4474,24.859
TOFB,1.00,2.36,2.37,12.21498,5.154
STI,1.00,61.09,61.35,27235.12688,443.938
ATRI,1.00,748.3001,751.48,1393.99337,1.855
VNET,1.00,7.06,7.09,796.86637,112.393
HURC,1.00,32.9,33.04,223.58168,6.767
IX,1.00,70.45,70.75,18137.25775,256.357
CKPT,1.00,2.46,2.47,89.34618,36.165
RCL,1.00,109.25,109.72,22992.61506,209.561
STAR,1.00,13.39,13.45,835.99488,62.166
DKL,1.00,31.5,31.64,787.93659,24.906
MMC,1.00,99.28,99.71,50484.56688,506.311
INTL,1.00,36.46,36.62,700.44128,19.128
HTBI,1.00,25.22,25.33,455.53472,17.984
CBU,1.00,61.9,62.17,3203.59052,51.529
AHC,1.00,3.47,3.49,74.80608,21.464
ATAX,1.00,7.14,7.17,433.33374,60.426
RBCAA,1.00,45.41,45.61,955.01932,20.939
ARCE,1.00,49.86,50.08,2522.0288,50.36
MBTF,1.00,10.135,10.18,234.51666,23.037
FBNC,1.00,36.03,36.19,1075.45823,29.717
VRNA,1.00,4.5,4.52,59.51032,13.166
TNP,1.00,2.81,2.82,247.92215,87.837
MLP,1.00,10.24,10.29,198.513,19.3
WTFC,1.00,66.23,66.53,3771.2554,56.689
RETA,1.00,81.61,81.97,2463.82643,30.056
DPDW,1.00,0.74,0.74,9.95374,13.391
BY,1.00,17.81,17.89,681.87735,38.115
NVS,1.00,90.82,91.23,209077.72095,2291.765
UCBI,1.00,27.11,27.23,2152.4215,79.039
WBA,1.00,52.78,53.02,47884.64186,903.143
HMHC,1.00,5.31,5.33,662.02864,124.111
THG,1.00,132.51,133.11,5265.216,39.554
OXBR,1.00,0.9855,0.99,5.67666,5.734
FTAI,1.00,15.25,15.32,1300.68918,84.903
PGRE,1.00,13.27,13.33,3120.87292,234.112
MMM,1.00,163.47,164.22,94472.31738,575.279
CTO,1.00,61.92,62.20,306.54498,4.928
ADSK,1.00,151.38,152.08,33398.964,219.62
SNY,1.00,41.56,41.75,104132.57634,2494.116
PKBK,1.00,21.66,21.76,234.1376,10.76
ENVA,1.00,26.3,26.42,898.32927,34
WOR,1.00,37.35,37.52,2150.49436,57.312
BHC,1.00,22.62,22.72,8005.1335,352.268
ALMTF,1.00,0.6457,0.65,117.68328,181.417
CXDC,1.00,2.15,2.16,110.04984,50.949
MCB,1.00,39.59,39.77,330.92617,8.32
CCK,1.00,65.2,65.51,8877.76425,135.527
CVGW,1.00,91.37,91.80,1615.68,17.6
PFIS,1.00,44.47,44.68,330.58732,7.399
FFBC,1.00,23.955,24.07,2372.4844,98.571
PVBC,1.00,27.1,27.23,262.11598,9.626
JOUT,1.00,60.42,60.71,610.1355,10.05
KO,1.00,53.42,53.68,229524.75,4276.027
IMBI,1.00,0.4151,0.42,31.79595,76.231
ORAN,1.00,14.79,14.86,39313.94766,2645.389
PXD,1.00,126.17,126.78,21352.54116,168.424
COTY,1.00,10.37,10.42,7829.588,751.398
PLOW,1.00,43.52,43.73,996.82535,22.795
ANTM,1.00,287.33,288.72,73858.6074,255.817
CMFN,1.00,7.245,7.28,99.15485,13.62
SBSI,1.00,33.62,33.78,1140.37871,33.756
QUAD,1.00,10.34,10.39,549.12,52.85
PDEX,1.00,13.86,13.93,57.2836,4.113
EXC,1.00,45.2,45.42,44129.34528,971.584
BHLB,1.00,29.91,30.06,1537.4754,51.154
SORL,1.00,3.075,3.09,59.65245,19.305
BNTC,1.00,0.7762,0.78,10.02378,12.851
CAE,1.00,27.12,27.25,7244.07592,265.809
TGCDF,1.00,4.09,4.11,442.19333,107.587
HLT,1.00,95.58,96.05,27552.35861,286.855
HTH,1.00,22.37,22.48,2085.582,92.775
SG,1.00,10.8,10.85,1250.97245,115.262
GNFT,1.00,16.55,16.63,645.82638,38.831
TDW,1.00,18.84,18.93,710.258,37.514
SIBN,1.00,18.99,19.08,473.30136,24.801
MGEE,1.00,74.45,74.82,2593.85976,34.668
MET,1.00,46.91,47.14,44147.44074,936.448
ABB,1.00,18.06,18.15,38696.163,2132.02
WLTW,1.00,197.22,198.20,25567.01026,128.994
H,1.00,75.48,75.86,7954.56191,104.863
TCBK,1.00,36.6,36.78,1120.07016,30.451
MDLZ,1.00,54.69,54.96,79265.4849,1442.151
AMSF,1.01,65.98,66.31,1279.66725,19.298
GBDC,1.01,18.16,18.25,1108.13623,60.716
TMUS,1.01,77.51,77.90,66561.8887,854.457
UMPQ,1.01,16.37,16.45,3622.79857,220.199
LIN,1.01,191.97,192.94,104719.36046,542.766
SWN,1.01,1.9,1.91,1033.68436,541.317
PMD,1.01,7.93,7.97,43.97049,5.517
THCB,1.01,9.9,9.95,353.09565,35.487
AGTC,1.01,3.83,3.85,69.9468,18.171
ALLE,1.01,98.73,99.23,9265.66665,93.376
PNFP,1.01,55.95,56.23,4327.25625,76.95
BUSE,1.01,25.49,25.62,1419.01494,55.387
BNPQY,1.01,22.63,22.75,56778.34586,2496.218
CTRN,1.01,15.12,15.20,183.63246,12.083
FND,1.01,42,42.22,4205.27973,99.613
DLX,1.01,44,44.23,1898.70544,42.931
LGIH,1.01,75.6,75.99,1743.2106,22.94
JCTCF,1.01,7.79,7.83,31.1564,3.979
SMBC,1.01,32.93,33.10,307.4659,9.289
CSGS,1.01,50.47,50.73,1685.17014,33.218
TWO,1.01,13.48,13.55,3697.795,272.905
AI,1.01,5.95,5.98,218.73644,36.573
WRI,1.01,27.85,28.00,3601.4733,128.646
GOGL,1.01,5.43,5.46,787.49244,144.273
WFC,1.01,46.3,46.54,205069.0224,4406.107
THM,1.01,0.6504,0.65,122.33383,187.112
PBF,1.01,22.91,23.03,2761.15882,119.894
CPB,1.01,41.79,42.01,12651.03,301.15
KT,1.01,11.03,11.09,5436.25146,490.29
INN,1.01,11.44,11.50,1208.9605,105.127
GPC,1.01,91.43,91.91,13426.02898,146.078
ERJ,1.01,19.83,19.93,3667.0326,183.957
VVI,1.01,67.66,68.02,1381.54014,20.312
BWB,1.01,11.38,11.44,331.61128,28.987
SAIC,1.01,83.19,83.63,4935.94,59.021
ABC,1.01,87.45,87.91,18314.5182,208.326
ANIK,1.01,56.29,56.59,779.9553,13.783
NBHC,1.01,33.97,34.15,1063.39685,31.139
SYBT,1.01,36.79,36.99,840.44979,22.724
FMC,1.01,88.32,88.79,11581.14607,130.433
NCPCF,1.01,0.0328,0.03,8.5638,259.708
MSG,1.01,294.69,296.26,7038.84134,23.759
TTD,1.01,271.94,273.39,12172.56793,44.524
BPMP,1.01,14.87,14.95,1566.162,104.76
MVC,1.01,9.4193,9.47,167.85575,17.725
UVE,1.01,27.85,28.00,956.48,34.16
VEEV,1.01,162.16,163.04,24010.1623,147.266
PB,1.01,65.86,66.22,4572.61122,69.053
KAMN,1.01,58.25,58.57,1638.95124,27.984
BAC,1.01,28.33,28.48,265143.04476,9308.301
XYL,1.01,76.82,77.24,13905.521,180.029
CSFL,1.01,22.97,23.10,2980.0386,129.026
OCX,1.01,1.8,1.81,94.07113,51.973
JBHT,1.01,98.73,99.28,10599.92704,106.768
CNA,1.01,48.2,48.47,13159.605,271.507
PEGI,1.01,23.3,23.43,2301.78663,98.241
NGG,1.01,51.04,51.33,35054.8,682.996
ELF,1.01,17.24,17.34,863.18046,49.79
ACAN,1.01,1.25,1.26,28.9863,23.06
CVET,1.01,23.82,23.95,2675.59248,111.699
HAFC,1.01,19.855,19.97,617.52861,30.928
OSIS,1.01,107.74,108.35,1961.60537,18.105
RLI,1.01,92.38,92.90,4160.7123,44.787
KOP,1.01,27.86,28.02,578.50351,20.648
DCI,1.01,48.76,49.04,6253.35744,127.527
MDT,1.01,101.67,102.24,137126.59144,1341.157
WU,1.01,21.59,21.71,9203.699,423.891
UNTY,1.01,19.97,20.08,217.6628,10.838
PRSC,1.01,55.09,55.40,714.44268,12.895
CHRA,1.01,5.25,5.28,156.0504,29.555
AQST,1.01,3.84,3.86,96.65325,25.027
HWC,1.01,37.6,37.82,3243.40538,85.769
FCSC,1.01,1.74,1.75,17.0765,9.758
V,1.01,179.05,180.08,391282.5,2172.829
AZRE,1.01,10.42,10.48,430.0992,41.04
PKE,1.01,19.05,19.16,392.62672,20.492
STX,1.01,44.89,45.15,12147.08372,269.038
SGMA,1.01,4.5701,4.60,19.504,4.243
STRS,1.01,25.93,26.08,212.92908,8.164
NOG,1.01,1.7,1.71,681.513,398.555
MATX,1.01,35.83,36.04,1543.44904,42.826
HRL,1.01,41.71,41.96,22397.96554,533.845
SAFM,1.01,137.29,138.10,3059.4674,22.154
CBIO,1.01,7.7,7.75,93.06975,12.016
POWL,1.01,37.86,38.08,440.51589,11.567
SBR,1.01,43.92,44.18,644.10022,14.579
EQNR,1.01,16.87,16.97,56483.49575,3328.309
JRVR,1.01,48.02,48.31,1467.41378,30.377
AVX,1.01,14.51,14.60,2468.23612,169.093
MCRN,1.01,15.94,16.04,1130.85208,70.519
BBVA,1.01,4.95,4.98,32970.73242,6620.629
D,1.01,74.84,75.29,60489.99,803.387
K,1.01,62.18,62.56,21309.09,340.632
SNR,1.01,6.58,6.62,550.29412,83.126
MCS,1.01,36.05,36.27,1121.45264,30.92
EBF,1.01,20.18,20.30,530.19057,26.114
CHD,1.01,76.69,77.16,19065.312,247.096
MLM,1.01,249.41,250.95,15669.43434,62.44
HDS,1.01,38.27,38.51,6578.50926,170.84
SPGI,1.01,256.19,257.78,63491.214,246.3
PPC,1.01,28.93,29.11,7257.35588,249.308
RBBN,1.01,5.4,5.43,597.74008,110.008
ADS,1.01,153.72,154.68,7903.752,51.098
I,1.01,20.79,20.92,2941.352,140.6
AXAHY,1.01,24.34,24.49,58128.78456,2373.348
BOMN,1.01,20.06,20.19,452.466,22.415
MSCI,1.01,224.05,225.46,19096.18165,84.699
ATUSF,1.01,9.5075,9.57,409.3321,42.784
NWE,1.01,69.39,69.83,3522.43469,50.443
IBN,1.01,11.73,11.80,38097.2784,3227.369
MLNX,1.01,107.6,108.28,5933.89958,54.799
MFIN,1.01,4.71,4.74,116.604,24.6
MRCC,1.01,10.97,11.04,225.7128,20.445
BERY,1.01,42.21,42.48,5611.608,132.1
AGNC,1.01,17.07,17.18,9411.204,547.818
NFBK,1.01,15.59,15.69,770.56728,49.112
BPOP,1.01,54.48,54.83,5302.22549,96.703
TEL,1.01,89.77,90.35,30350.9102,335.935
KMPR,1.01,79.51,80.02,5331.11076,66.619
RY,1.01,76.5,76.99,110442.63663,1434.416
STBA,1.01,35.7,35.93,1232.7903,34.309
ZEN,1.01,76.34,76.84,8527.586,110.984
SNE,1.01,56.11,56.48,70354.51875,1245.74
CBPO,1.01,96.41,97.04,3713.13856,38.264
STL,1.01,19.72,19.85,4072.96195,205.198
LFVN,1.01,10.81,10.88,156.03192,14.34
PCYO,1.01,10.67,10.74,255.63348,23.802
FUV,1.01,2.86,2.88,47.0592,16.347
OSBC,1.01,12.15,12.23,365.64031,29.897
ITIC,1.01,154.61,155.63,293.98507,1.889
MED,1.01,104.53,105.22,1245.3831,11.836
NWBI,1.01,16.63,16.74,1784.7351,106.615
CZNC,1.01,24.165,24.32,332.6184,13.674
CVX,1.01,122.42,123.23,233942.05014,1898.418
CMCO,1.01,34.5,34.73,820.32237,23.621
SAND,1.01,6.56,6.60,1180.6872,178.798
ACY,1.01,7.5499,7.60,11.7496,1.546
PSEC,1.01,6.555,6.60,2421.441,366.968
XHR,1.01,21.04,21.18,2385.75756,112.642
USAC,1.01,15.4,15.50,1497.58356,96.6
ASFI,1.01,7.2175,7.27,47.9983,6.606
CLI,1.01,22.31,22.46,2033.82038,90.554
XONE,1.01,6.8,6.85,112.3665,16.414
ORA,1.01,71.23,71.71,3639.42592,50.752
DSX,1.01,3.06,3.08,325.81896,105.764
ETH,1.01,17.8,17.92,476.3136,26.58
BICX,1.01,3.51,3.53,10.7565,3.044
PFS,1.01,23.72,23.88,1585.7514,66.405
HRB,1.01,27.47,27.66,5594.292,202.282
NTEC,1.01,0.4579,0.46,15.34992,33.297
BTN,1.01,2.95,2.97,43.12143,14.519
REG,1.01,64.99,65.43,10963.4,167.557
NEM,1.01,39.03,39.30,32217.8,819.894
NDSN,1.01,138.29,139.23,7998.78104,57.45
ERI,1.01,40.38,40.65,3149.59985,77.472
CVEO,1.01,1.47,1.48,250.90736,169.532
ISRG,1.01,515.66,519.17,59836.032,115.253
JNPR,1.01,25.34,25.51,8822.645,345.816
WRE,1.01,26.31,26.49,2121.37218,80.084
SHW,1.01,519.76,523.31,48278.48736,92.256
KMDA,1.01,5.5657,5.60,225.652,40.268
SEIC,1.01,57.5,57.89,8743.3136,151.024
KIM,1.01,18.95,19.08,8053.55352,422.097
JCI,1.01,42.31,42.60,33897.1182,795.707
CNAF,1.01,21.85,22.00,62.942,2.861
AFG,1.01,102.83,103.54,9285.83186,89.687
WSBC,1.01,34.9,35.14,1922.05258,54.697
MMI,1.01,34.9,35.14,1373.65774,39.091
FWRD,1.01,61.04,61.46,1740.1624,28.313
FCFS,1.01,99.63,100.32,4310.04816,42.963
EVGN,1.01,1.5989,1.61,41.46394,25.754
GAIN,1.01,11.49,11.57,379.75054,32.822
KALU,1.01,93.8,94.45,1511.5347,16.003
WH,1.01,54.51,54.89,5293.10436,96.431
SSD,1.01,63.27,63.71,2846.30926,44.675
MNCL,1.01,10.03,10.10,225.028,22.28
PLUS,1.01,81.36,81.93,1106.52219,13.506
AUB,1.01,36.48,36.74,3015.87638,82.098
LAKE,1.01,11.43,11.51,92.24114,8.014
SKT,1.01,15.71,15.82,1479.86608,93.544
AQUA,1.01,15.26,15.37,1757.12247,114.344
SANM,1.01,30.09,30.30,2108.90918,69.598
TSC,1.01,19.76,19.90,583.55271,29.326
DTEGY,1.01,16.14,16.25,77089.09368,4742.942
BSM,1.01,14.49,14.59,3005.36466,205.962
INSP,1.01,64.64,65.10,1556.43312,23.91
GRP/U,1.01,46.8,47.13,2330.24859,49.443
RTN,1.01,186.85,188.17,52411.584,278.534
PAM,1.01,35.12,35.37,2400.75,67.878
GILT,1.01,8.69,8.75,478.37592,54.662
NL,1.01,3.9,3.93,191.49711,48.756
EDVMF,1.01,20.652,20.80,2286.2944,109.925
OBNK,1.01,33.035,33.27,780.9759,23.474
TUSK,1.01,4.22,4.25,191.27125,45.005
IRMD,1.01,21.41,21.56,245.168,11.37
BEST,1.01,4.91,4.95,1941,392.514
EVC,1.01,2.8,2.82,240.87876,85.417
CVLT,1.01,43.865,44.18,1996.00956,45.18
CYD,1.01,13.93,14.03,573.23774,40.858
FNCB,1.01,7.29,7.34,148.0878,20.169
AAT,1.01,47.25,47.59,2842.21757,59.722
OPB,1.01,20.66,20.81,754.38331,36.251
CCF,1.01,99.08,99.80,939.3176,9.412
BP,1.01,36.81,37.08,125981.90176,3397.796
WSBF,1.01,16.66,16.78,461.3542,27.492
MXC,1.01,4.1,4.13,8.4252,2.04
DGX,1.01,100.74,101.48,13666.05,134.67
EOLS,1.01,17.96,18.09,495.22275,27.373
CSHX,1.01,59.39,59.83,246.42112,4.119
HBNC,1.01,16.36,16.48,742.60528,45.061
AGEN,1.01,2.58,2.60,348.9356,134.259
MO,1.01,46.16,46.50,86866.1385,1868.096
PEP,1.01,128.6,129.55,181128.53,1398.17
CHAC/U,1.01,10.86,10.94,95.725,8.75
DOMO,1.01,25.94,26.13,715.28095,27.372
COE,1.01,5.8432,5.89,120.12655,20.407
TM,1.01,128.98,129.94,182663.9308,1405.76
JVA,1.01,4.02,4.05,22.55445,5.569
LNG,1.01,62.34,62.81,16167.294,257.414
TBK,1.01,29.47,29.69,778.0806,26.206
GECC,1.01,8.19,8.25,85.3536,10.344
PRGX,1.01,5.29,5.33,125.62768,23.571
SA,1.01,14.59,14.70,908.76522,61.821
RH,1.01,137.18,138.22,2569.56926,18.591
HHC,1.01,132.95,133.95,5779.4658,43.145
TRVN,1.01,0.9309,0.94,86.822,92.567
IMMR,1.01,7.88,7.94,250.53082,31.554
CNP,1.01,27.62,27.83,13976.64345,502.219
FGEN,1.01,46.1,46.45,4005.045,86.222
CNCE,1.01,10.26,10.34,246.05064,23.8
CFFI,1.01,53.64,54.05,185.49795,3.432
HASI,1.01,27.94,28.15,1849.37137,65.689
LBC,1.01,10.46,10.54,590.05028,55.982
ALRM,1.01,50.29,50.67,2449.26012,48.333
TDG,1.01,544.73,548.91,29272.75869,53.329
HZNP,1.01,27.13,27.34,5097.14214,186.448
TRX,1.01,0.98,0.99,142.7433,144.547
BLGO,1.01,0.2449,0.25,35.90154,145.48
LPX,1.01,22.78,22.96,2837.55301,123.613
CPRX,1.01,5.035,5.07,522.24432,102.929
WCN,1.01,91.76,92.47,24383.0925,263.689
EXPD,1.01,72.29,72.85,12436.7256,170.72
CUBI,1.01,19.4,19.55,609.9991,31.202
MASI,1.01,154.69,155.89,8312.83425,53.326
PDSB,1.01,6.46,6.51,33.70227,5.177
PRI,1.01,114.26,115.15,4888.38,42.454
QCRH,1.01,36.6,36.88,582.0237,15.78
NI,1.01,28.57,28.79,10749.5712,373.347
APLE,1.01,15.39,15.51,3472.20819,223.869
XPEL,1.01,6.795,6.85,189.14905,27.621
DHIL,1.01,138,139.08,477.59175,3.434
RBNC,1.01,23.57,23.75,265.92875,11.195
ESTE,1.01,4.04,4.07,262.4052,64.448
SYN,1.01,0.455,0.46,7.70656,16.806
SBUX,1.01,96.28,97.03,116149.755,1197
BPT,1.01,8.93,9.00,192.6,21.4
WMS,1.01,33.36,33.62,1944.8867,57.844
RBS,1.01,5.05,5.09,30771.595,6045.616
TRVG,1.01,4.87,4.91,1724.1091,351.248
AMKR,1.01,8.94,9.01,2159.91116,239.704
IBTX,1.01,51.29,51.70,2220.29226,42.949
LKFN,1.01,42.86,43.20,1099.0944,25.442
CRVL,1.01,87.2,87.89,1623.63942,18.473
ACHC,1.01,28.75,28.98,2565.36915,88.525
ATO,1.01,108.56,109.43,12934.18828,118.201
HELE,1.01,147.13,148.30,3723.48234,25.107
IPDN,1.01,1.43,1.44,7.33555,5.089
DCOM,1.01,19.94,20.10,721.3287,35.887
HD,1.01,210.02,211.71,232938.57,1100.286
AYX,1.01,131.09,132.15,8298.83418,62.8
HHR,1.01,18.6,18.75,937.5,50
VNO,1.01,61.93,62.43,11912.45559,190.813
TDY,1.01,296.58,298.98,10876.424,36.379
QNTO,1.01,12.45,12.55,24.86265,1.981
ARNC,1.01,25.22,25.42,11191.43784,440.188
NAVI,1.01,13.54,13.65,3146.2431,230.494
FULT,1.01,16.2,16.33,2715.51181,166.27
UGP,1.01,4.91,4.95,5375.8485,1086.03
HTLF,1.01,45.28,45.65,1674.8985,36.69
ISBC,1.01,11.01,11.10,3072.7131,276.821
WEN,1.01,19.84,20.00,4612.59632,230.603
ARCI,1.01,3.66,3.69,6.25455,1.695
FLMN,1.01,6.1,6.15,528.03285,85.859
WING,1.01,100.02,100.84,2969.03212,29.443
AEGN,1.01,19.43,19.59,605.20596,30.894
CHEF,1.01,37.68,37.99,1150.75509,30.291
QTS,1.01,48.29,48.69,2692.55651,55.302
SNPS,1.01,130.96,132.04,19793.12454,149.899
CNTY,1.01,8.45,8.52,250.82028,29.439
MUFG,1.01,4.82,4.86,62803.12644,12922.533
KDMN,1.01,2.41,2.43,315.01305,129.635
AGR,1.01,50.37,50.79,15694.36395,309.005
AOS,1.01,45.53,45.91,7675.96836,167.196
TCRD,1.01,6.53,6.58,210.70064,31.999
CIEN,1.01,43.65,44.02,6826.27996,155.089
VAL,1.01,4.44,4.48,885.92,197.872
MAG,1.01,11.99,12.09,1044.43119,86.384
DAL,1.01,59.53,60.03,39031.56603,650.201
VVPR,1.01,1.19,1.20,16.2684,13.557
HROW,1.01,7.13,7.19,177.72961,24.719
MPX,1.01,14.79,14.91,507.78,34.046
ATGE,1.01,48.09,48.50,2744.04372,56.582
FELE,1.01,45.5,45.89,2126.2257,46.338
SSW,1.01,10.1,10.19,2196.01633,215.601
STT,1.01,52.96,53.41,19899.12393,372.58
EGO,1.01,8.23,8.30,1318.02944,158.802
NSIT,1.01,53.15,53.60,1918.27368,35.788
TOWN,1.01,27.19,27.42,1991.07588,72.611
ROL,1.01,32.93,33.21,10875.81006,327.486
BID,1.01,58.63,59.13,2756.22669,46.614
PXLW,1.01,3.52,3.55,133.27765,37.543
CRY,1.01,26.71,26.94,1010.0712,37.496
KSHB,1.01,4.4024,4.44,394.4496,88.84
VBTX,1.01,23.5,23.70,1268.00004,53.5
OTTR,1.01,52.54,52.99,2106.61745,39.755
MGPI,1.01,51.34,51.78,881.5545,17.025
ARR,1.01,17.5,17.65,1044.7388,59.192
PMTS,1.01,2.33,2.35,26.22835,11.161
CLX,1.01,158.27,159.63,20331.63424,127.368
SEE,1.01,44.93,45.32,7002.47926,154.526
CCNE,1.01,26.74,26.97,409.89006,15.198
BANF,1.01,55.33,55.81,1821.6384,32.642
CEQP,1.01,33.79,34.08,2448.078,71.831
KBR,1.01,25.35,25.57,3619.33122,141.555
MNRO,1.01,81.45,82.15,2729.32183,33.222
RRBI,1.01,45.863,46.26,337.698,7.3
TERP,1.01,16.17,16.31,3411.10602,209.142
ORLY,1.01,378.31,381.59,29264.1371,76.69
GIG,1.01,10.38,10.47,193.29714,18.462
AIN,1.01,83.3,84.02,2713.94305,32.3
AAME,1.01,2.4,2.42,48.763,20.143
LQDT,1.01,6.77,6.83,229.79628,33.651
KGJI,1.01,0.6675,0.67,44.51456,66.114
GHDX,1.01,73.34,73.98,2758.59585,37.289
CBD,1.01,23.33,23.53,3950.13258,167.853
AER,1.01,52.74,53.20,7267.2796,136.603
USB,1.01,52.79,53.25,83914.74928,1575.827
CHAC,1.01,10.3,10.39,90.9125,8.75
SAGE,1.01,168.92,170.40,8802.34432,51.657
NVCR,1.01,86.45,87.21,8561.68391,98.176
SNX,1.01,84.85,85.59,4371.74113,51.075
HURN,1.01,59.36,59.88,1372.7283,22.924
TACO,1.01,11.3,11.40,422.41808,37.056
NJR,1.01,45.45,45.85,4125.61828,89.98
PEB,1.01,27.08,27.32,3568.76475,130.633
ITW,1.01,149.53,150.85,48796.6563,323.478
FNJN,1.01,2.13,2.15,59.3314,27.611
SON,1.01,58.67,59.19,5923.43925,100.077
BCRH,1.01,8.18,8.25,72.41542,8.775
CKX,1.01,9.02,9.10,17.6722,1.942
SLRC,1.01,20.29,20.47,865.08267,42.261
SYY,1.01,69.99,70.61,36292.87235,513.975
CATB,1.01,6.55,6.61,75.98856,11.499
NEWR,1.01,63.08,63.64,3717.04082,58.406
ONDK,1.01,3.37,3.40,259.4234,76.301
ATRS,1.01,3.27,3.30,537.96768,163.062
VCTR,1.01,17.23,17.38,1174.8828,67.584
DCO,1.01,43.82,44.21,509.85276,11.532
CINR,1.01,15.32,15.46,311.26,20.137
FFBW,1.01,10.05,10.14,66.732,6.581
EXAS,1.01,118.45,119.52,15475.88076,129.485
SMPL,1.01,26.3,26.54,2171.56009,81.83
AB,1.01,27.73,27.98,2703.63724,96.624
WCG,1.01,276,278.50,14011.892,50.312
OLN,1.01,17.67,17.83,2929.469,164.298
HUBS,1.01,191.67,193.41,8219.85202,42.5
SABR,1.01,24.9,25.13,6876.37216,273.676
GLRE,1.01,9.53,9.62,353.59434,36.768
PSO,1.01,9.96,10.05,7857.64468,781.772
CDBMF,1.01,0.0644,0.06,19.50124,300.069
THRM,1.01,38.6,38.95,1284.81648,32.983
AKTS,1.01,5.54,5.59,168.0448,30.057
FISOF,1.01,0.0675,0.07,9.66303,141.853
CVA,1.01,16.72,16.87,2217.83,131.436
AVTR,1.01,16.85,17.01,9675.288,568.95
ETN,1.01,79.03,79.76,33499.2,420
PDDPF,1.01,3.4387,3.47,50.70707,14.611
IBA,1.01,52.11,52.59,2629.67,50
BGG,1.01,8.9,8.98,377.7886,42.058
SUM,1.01,19.28,19.46,2180.84328,112.074
MGLN,1.01,68.88,69.52,1696.35752,24.401
ALEAF,1.01,0.8995,0.91,246.90988,271.953
EBS,1.01,43.62,44.03,2271.948,51.6
SERV,1.01,56.97,57.51,7813.21891,135.869
AMXEF,1.01,0.7468,0.75,41.55005,55.119
VSI,1.01,6.42,6.48,155.49351,23.994
FICO,1.01,365.16,368.60,10651.52627,28.897
BKU,1.01,32.27,32.57,3096.81684,95.068
MDU,1.01,26.67,26.92,5359.07,199.059
CARE,1.01,19.04,19.22,506.13948,26.334
VPG,1.01,32,32.30,436.8312,13.523
BHB,1.01,22.92,23.14,359.68816,15.546
SYNC,1.01,1.36,1.37,54.28367,39.54
CRCM,1.01,8.76,8.84,289.74015,32.765
BKH,1.01,76.4,77.12,4709.42262,61.063
AVYA,1.01,11.15,11.26,1247.79186,110.858
STRA,1.01,174.04,175.70,3856.87828,21.952
NLY,1.01,9.44,9.53,13878.18639,1456.263
JBSS,1.01,79.6,80.36,915.22004,11.389
CHMG,1.01,41.99,42.39,205.0464,4.837
MSFT,1.01,137.71,139.03,1061536.27,7635.409
WSTL,1.01,1.6072,1.62,25.24616,15.559
SNA,1.01,153,154.47,8528.2887,55.21
OSB,1.01,21.68,21.89,1787.596,81.669
UMBF,1.01,65.71,66.34,3255.33005,49.068
MYE,1.01,15.77,15.92,565.13676,35.494
RF,1.01,14.67,14.81,14778.88,997.772
ARPO,1.01,0.6821,0.69,27.95296,40.588
ATUS,1.01,26.84,27.10,17553.50454,647.732
OCSI,1.01,8.25,8.33,245.46011,29.467
BANR,1.01,54.65,55.18,1907.79332,34.573
MARA,1.01,2.07,2.09,13.3457,6.385
DEI,1.01,40.88,41.28,7029.08573,170.285
FRBK,1.01,4.06,4.10,241.2317,58.843
SR,1.01,81.3,82.09,4171.0746,50.809
FBSS,1.01,20.4501,20.65,78.16025,3.785
HALL,1.01,15.34,15.49,280.72527,18.123
RGA,1.01,148.44,149.89,9407.4242,62.761
WLMS,1.01,2.04,2.06,39.14,19
TLRD,1.01,5.1,5.15,260.17285,50.519
TURV,1.01,0.51,0.52,25.93025,50.35
PKG,1.01,101.13,102.12,9667.29192,94.663
CHSP,1.01,26.47,26.73,1624.27518,60.766
ROP,1.01,355,358.49,37283.67698,104.002
ABEV,1.01,5.05,5.10,80205.1296,15727.212
TSLX,1.01,20.12,20.32,1346.51482,66.271
SUPN,1.01,28.38,28.66,1503.18834,52.449
DIOD,1.01,37.66,38.03,1939.4739,50.996
MAS,1.01,39.16,39.55,11447.142,289.456
EHTH,1.01,109.24,110.32,2498.63768,22.649
HY,1.01,57.52,58.09,967.88016,16.662
HRC,1.01,106.17,107.22,7163.96788,66.815
ALK,1.01,63.93,64.56,7959.00114,123.272
RNST,1.01,33.54,33.87,1973.97028,58.275
IMBBY,1.01,25.4799,25.73,24587.05628,955.462
TACT,1.01,11.88,12.00,89.472,7.457
GNTY,1.01,30.06,30.36,350.9616,11.56
INDB,1.01,71.41,72.12,2478.66262,34.367
SNBR,1.01,44.04,44.48,1304.28704,29.323
ORN,1.01,4.15,4.19,123.8595,29.55
